Customer_ID_Numeric,Customer_Name,City,State,Region,Last_Purchase,Recency_Days,Num_Orders,Total_Revenue,Total_Profit,Avg_Order_Value,Primary_Category,R_Score,M_Score,Segment
0,Bianca Brown,Jackson,Mississippi,South,2023-08-23,496,1,603.03,221.49,603.03,Accessories,2,3,At_Risk
1,Jared Edwards,Grand Rapids,Michigan,Centre,2024-12-20,11,1,297.2,97.09,297.2,Accessories,5,2,Potential
2,Susan Valdez,Minneapolis,Minnesota,Centre,2024-01-29,337,1,68.19,25.47,68.19,Clothing & Apparel,3,1,At_Risk
3,Tina Williams,Tallahassee,Florida,South,2024-11-29,32,1,628.92,231.38,628.92,Clothing & Apparel,5,3,Potential
4,Catherine Gordon,Baltimore,Maryland,East,2023-09-21,467,1,216.63,42.46,216.63,Accessories,2,2,Lost
5,Brittany Johnson,Boston,Massachusetts,East,2024-10-18,74,1,701.15,90.63,701.15,Electronics,5,4,Champions
6,Katie Rodriguez MD,Seattle,Washington,West,2024-12-11,20,1,1750.68,320.37,1750.68,Electronics,5,5,Champions
7,John Davis,Tulsa,Oklahoma,South,2024-09-22,100,2,1593.28,498.1,796.64,Clothing & Apparel,4,5,Champions
8,Edward Hicks,Salt Lake City,Utah,West,2023-10-25,433,1,230.7,87.44,230.7,Clothing & Apparel,2,2,Lost
9,Carrie Cunningham,Fort Smith,Arkansas,South,2023-10-15,443,1,2547.55,472.9,2547.55,Electronics,2,5,High_Value
10,Benjamin Smith,Rochester,New York,East,2023-06-28,552,2,1212.14,311.84000000000003,606.0699999999999,Clothing & Apparel,1,5,High_Value
11,Angela Manning,Augusta,Maine,East,2023-09-09,479,1,124.92,24.65,124.92,Accessories,2,1,Lost
12,Brent Kirby,Boston,Massachusetts,East,2023-07-13,537,1,1434.12,246.97,1434.12,Electronics,1,5,High_Value
13,Tiffany Spencer,Little Rock,Arkansas,South,2023-10-14,444,1,65.54,15.19,65.54,Clothing & Apparel,2,1,Lost
14,Laura Baldwin,Aurora,Illinois,Centre,2024-06-21,193,1,790.39,107.36,790.39,Electronics,4,4,Champions
15,April Arnold,Atlanta,Georgia,South,2023-10-09,449,1,70.27,16.25,70.27,Home & Furniture,2,1,Lost
16,Jennifer Burton,Montgomery,Alabama,South,2023-08-25,494,1,96.81,22.57,96.81,Clothing & Apparel,2,1,Lost
17,Kristin Evans,Santa Fe,New Mexico,West,2024-02-25,310,1,369.28,135.86,369.28,Clothing & Apparel,3,2,At_Risk
18,Zachary Walker,Baton Rouge,Louisiana,South,2023-01-14,717,1,104.5,21.17,104.5,Clothing & Apparel,1,1,Lost
19,Amanda Woodard,San Francisco,California,West,2023-03-05,667,1,59.75,13.47,59.75,Clothing & Apparel,1,1,Lost
20,Melissa Sanchez,Milwaukee,Wisconsin,Centre,2023-04-29,612,1,1345.25,541.55,1345.25,Clothing & Apparel,1,5,High_Value
21,Brittany Colon,Los Angeles,California,West,2024-01-08,358,1,844.67,106.63,844.67,Electronics,3,4,Loyal
22,Matthew Thomas,San Francisco,California,West,2023-06-18,562,2,531.91,183.26,265.955,Accessories,1,3,At_Risk
23,James Flores,Los Angeles,California,West,2023-12-27,370,1,424.59,93.32,424.59,Accessories,3,3,Loyal
24,Tricia Price,Annapolis,Maryland,East,2024-02-18,317,1,1237.76,158.76,1237.76,Home & Furniture,3,5,Loyal
25,Gabriel Gibson,Casper,Wyoming,West,2023-06-14,566,1,229.22,91.28,229.22,Accessories,1,2,Lost
26,Ryan Porter,Baltimore,Maryland,East,2023-10-30,428,1,390.32,92.92,390.32,Clothing & Apparel,2,3,At_Risk
27,James Cook,Columbia,South Carolina,South,2024-06-01,213,1,2823.24,310.43,2823.24,Electronics,4,5,Champions
28,Danny Johnson,Fayetteville,Arkansas,South,2024-03-31,275,1,285.38,125.15,285.38,Accessories,3,2,At_Risk
29,Shelia Mcpherson,Springfield,Illinois,Centre,2023-10-29,429,1,888.42,247.36,888.42,Home & Furniture,2,4,High_Value
30,Tiffany Collins,Wichita,Kansas,Centre,2023-12-08,389,1,447.73,46.93,447.73,Electronics,3,3,Loyal
31,Carla Brown,Worcester,Massachusetts,East,2024-10-03,89,1,1168.88,132.27,1168.88,Electronics,4,5,Champions
32,Karen Ryan,Virginia Beach,Virginia,South,2024-08-24,129,1,251.97,74.71,251.97,Home & Furniture,4,2,Potential
33,Raven Young,Baltimore,Maryland,East,2023-07-04,546,1,204.11,55.32,204.11,Accessories,1,2,Lost
34,Sheila Evans,Manchester,New Hampshire,East,2024-01-13,353,1,652.49,71.62,652.49,Electronics,3,4,Loyal
35,Shannon Blanchard,Dallas,Texas,South,2023-11-20,407,1,272.86,97.83,272.86,Clothing & Apparel,2,2,Lost
36,Matthew Boone,Cedar Rapids,Iowa,Centre,2023-10-30,428,1,358.34,93.12,358.34,Home & Furniture,2,2,Lost
37,Brandon Rivera,Kansas City,Missouri,Centre,2023-03-29,643,1,213.71,42.76,213.71,Clothing & Apparel,1,2,Lost
38,Lori Cox,Tucson,Arizona,West,2023-01-07,724,1,503.16,159.48,503.16,Clothing & Apparel,1,3,At_Risk
39,Stacey Thomas,St. Paul,Minnesota,Centre,2024-02-21,314,1,1443.64,386.41,1443.64,Home & Furniture,3,5,Loyal
40,Dominic Arnold,Dover,Delaware,East,2023-08-26,493,1,327.11,137.77,327.11,Clothing & Apparel,2,2,Lost
41,Angela Higgins,Philadelphia,Pennsylvania,East,2024-11-11,50,1,205.0,35.63,205.0,Electronics,5,2,Potential
42,Jennifer Cruz,Billings,Montana,West,2023-11-23,404,1,369.85,86.49,369.85,Accessories,2,3,At_Risk
43,Lauren Ryan,Salt Lake City,Utah,West,2023-01-18,713,1,349.89,148.08,349.89,Clothing & Apparel,1,2,Lost
44,Stephen Robinson,Mesa,Arizona,West,2024-12-01,30,1,182.56,37.02,182.56,Accessories,5,1,At_Risk
45,Patrick Johnson,Mobile,Alabama,South,2024-04-20,255,1,301.9,36.53,301.9,Home & Furniture,3,2,At_Risk
46,Mr. Jeremy Shaw,Nashua,New Hampshire,East,2024-04-19,256,1,3846.9,761.16,3846.9,Electronics,3,5,Loyal
47,Elizabeth Guerra,Rapid City,South Dakota,Centre,2023-12-22,375,1,550.83,116.51,550.83,Clothing & Apparel,3,3,Loyal
48,Krista Marshall,Billings,Montana,West,2024-04-03,272,1,122.75,47.1,122.75,Clothing & Apparel,3,1,At_Risk
49,Jack Gonzalez,Detroit,Michigan,Centre,2023-10-13,445,1,411.48,114.45,411.48,Clothing & Apparel,2,3,At_Risk
50,Dustin Campbell,Annapolis,Maryland,East,2024-01-27,339,1,1153.84,105.99,1153.84,Electronics,3,5,Loyal
